ID,Name,Address,Category,Pod,Indoor,Outdoor,Score,Corner,Lat,Lng
D4-040,3 Stars Brewing,6400 Chillum Pl NW,Brewery,D4,4,4,78,No,38.9515,-77.0005
D4-041,Hellbender,5788 2nd St NE,Brewery,D4,4,4,76,No,38.9580,-76.9990
D4-042,Port City,3950 Wheeler Ave,Brewery,D4,5,5,86,No,38.8120,-77.0625
D4-043,Caboose Commons,2918 Eskridge Rd,Brewery,D4,4,5,82,No,38.8785,-77.2185
D4-044,Lost Rhino,21730 Red Rum Dr,Brewery,D4,4,5,80,No,38.9640,-77.4610
D4-045,Mustang Sally,14031 Sullyfield Cir,Brewery,D4,4,4,76,No,38.8715,-77.4015
D4-046,Crooked Run,22455 Davis Dr,Brewery,D4,4,4,78,No,38.9855,-77.4715
D4-047,Fair Winds,7000 Newington Rd,Brewery,D4,4,4,76,No,38.7420,-77.1555
D4-048,Ocelot,23600 Overland Dr,Brewery,D4,4,4,78,No,38.9875,-77.4795
D4-049,Settle Down,5960 Richmond Hwy,Brewery,D4,4,4,74,No,38.7605,-77.0825
D4-050,Audacious Aleworks,130 N Royal St,Brewery,D4,4,4,76,No,38.8055,-77.0430
D4-051,Ornery Beer,9901 Fairfax Blvd,Brewery,D4,4,4,74,No,38.8605,-77.2630
D4-052,Backroom Brewing,13079 Gordon Blvd,Brewery,D4,4,3,70,No,38.8610,-77.4360
D4-053,Adventure Brewing,23510 Overland Dr,Brewery,D4,4,4,74,No,38.9870,-77.4780
D4-054,Old Ox,44652 Guilford Dr,Brewery,D4,4,4,76,No,39.0115,-77.5610
D4-055,Beltway Brewing,22620 Davis Dr,Brewery,D4,4,3,72,No,38.9865,-77.4725
D4-056,Forge Brew Works,8532 Terminal Rd,Brewery,D4,4,4,76,No,38.7780,-77.1425
D4-057,Lake Anne Brew,11424 Washington Plaza,Brewery,D4,4,4,78,No,38.9615,-77.3415
D4-058,Waters End,14501 George Carter Way,Brewery,D4,4,4,76,No,38.8835,-77.4115
D4-059,Heritage Brewing,600 Montgomery St,Brewery,D4,4,4,78,No,38.7350,-77.1945
D4-060,Cedar Run,13826 Braddock Rd,Brewery,D4,4,3,72,No,38.8335,-77.4715
